Open Circuits/The Inner Beauty of Electronic Components/By Windell Oskay and Eric Schlaepfer/$39.99
Book of R/A First Course in Programming and Statistics/By Tilman M. Davies/$59.99
Tiny LEGO Wonders/Build 40 Surprisingly Realistic Mini-Models!/By Mattia Zamboni/$24.95
Electronics for Kids/Play with Simple Circuits and Experiment with Electricity!/By Øyvind Nydal Dahl/$24.99
Arduino Project Handbook/25 Practical Projects to Get You Started/By Mark Geddes/$24.95
"The Manga Guide to Regression Analysis//By Shin Takahashi, Iroha Inoue, and Trend-Pro Co., Ltd./$24.95"
"Learn to Program with Small Basic/An Introduction to Programming with Games, Art, Science, and Math/By Majed Marji and Ed Price/$34.95"
Car Hacker's Handbook/A Guide for the Penetration Tester/By Craig Smith/$49.95
iOS Application Security/The Definitive Guide for Hackers and Developers/By David Thiel/$49.95
Learn to Program with Minecraft/Transform Your World with the Power of Python/By Craig Richardson/$29.95
"The Manga Guide to Physiology//By Etsuro Tanaka, Keiko Koyama, and Becom Co. Ltd./$24.99"
Official ScratchJr Book/Help Your Kids Learn to Code/By Marina Umaschi Bers and Mitchel Resnick/$19.95
"Maker's Guide to the Zombie Apocalypse/Defend Your Base with Simple Circuits, Arduino, and Raspberry Pi/By Simon Monk/$24.95"
Clojure for the Brave and True/Learn the Ultimate Language and Become a Better Programmer/By Daniel Higginbotham/$39.99
Junkyard Jam Band/DIY Musical Instruments and Noisemakers/By David Erik Nelson/$24.95
Python Playground/Geeky Projects for the Curious Programmer/By Mahesh Venkitachalam/$29.95
"The LEGO Power Functions Idea Book, Vol. 1/Machines and Mechanisms/By Yoshihito Isogawa/$24.95"
"The LEGO Power Functions Idea Book, Vol. 2/Cars and Contraptions/By Yoshihito Isogawa/$24.95"
The LEGO Architect//By Tom Alphin/$24.99
"The LEGO Adventure Book, Vol. 3/Robots, Planes, Cities & More!/By Megan H. Rothrock/$24.95"
Beautiful LEGO: Wild!//By Mike Doyle/$24.95
Game Art/Art from 40 Video Games and Interviews with Their Creators/By Matt Sainsbury/$39.95
Medieval LEGO//By Greyson Beights/$14.95
The Art of LEGO Scale Modeling//By Dennis Glaasker and Dennis Bosman/$29.95
"Doing Math with Python/Use Programming to Explore Algebra, Statistics, Calculus, and More!/By Amit Saha/$29.95"
"How Software Works/The Magic Behind Encryption, CGI, Search Engines, and Other Everyday Technologies/By V. Anton Spraul/$29.99"
Smart Girl's Guide to Privacy/Practical Tips for Staying Safe Online/By Violet Blue/$17.95
SparkFun Guide to Processing/Create Interactive Art with Code/By Derek Runberg/$29.95
"Book of GNS3/Build Virtual Network Labs Using Cisco, Juniper, and More/By Jason C. Neumann/$39.95"
Teach Your Kids to Code/A Parent-Friendly Guide to Python Programming/By Bryson Payne/$29.95
GNU Make Book//By John Graham-Cumming/$34.95
Build an HTML5 Game/A Developer's Guide with CSS and JavaScript/By Karl Bunyan/$29.95
Data Visualization with JavaScript//By Stephen A. Thomas/$39.95
Statistics Done Wrong/The Woefully Complete Guide/By Alex Reinhart/$24.95
Ruby Wizardry/An Introduction to Programming for Kids/By Eric Weinstein/$29.95
JavaScript for Kids/A Playful Introduction to Programming/By Nick Morgan/$34.95
Lauren Ipsum/A Story About Computer Science and Other Improbable Things/By Carlos Bueno/$16.95
Bitcoin for the Befuddled//By Conrad Barski and Chris Wilmer/$24.95
Steampunk LEGO//By Guy Himber/$29.95
Beautiful LEGO 2: Dark//By Mike Doyle/$39.95
"Book of CSS3, 2nd Edition/A Developer's Guide to the Future of Web Design/By Peter Gasston/$34.95"
The LEGO MINDSTORMS EV3 Idea Book/181 Simple Machines and Clever Contraptions/By Yoshihito Isogawa/$24.95
"Incredible LEGO Technic/Cars, Trucks, Robots & More!/By Paweł “Sariel” Kmieć/$29.95"
The Art of the Brick/A Life in LEGO/By Nathan Sawaya/$39.99
Android Security Internals/An In-Depth Guide to Android's Security Architecture/By Nikolay Elenkov/$49.95
The Art of LEGO MINDSTORMS EV3 Programming//By Terry Griffin/$34.95
If Hemingway Wrote JavaScript//By Angus Croll/$24.99
Rails Crash Course/A No-Nonsense Guide to Rails Development/By Anthony Lewis/$34.95
"Book of PF, 3rd Edition/A No-Nonsense Guide to the OpenBSD Firewall/By Peter N. M. Hansteen/$34.95"
The LEGO Neighborhood Book/Build Your Own Town!/By Brian Lyles and Jason Lyles/$19.95
"Build Your Own Website/A Comic Guide to HTML, CSS, and WordPress/By Nate Cooper, with art by Kim Gee/$19.95"
"Incredible Plate Tectonics Comic/The Adventures of Geo, Vol. 1/By Kanani K.M. Lee and Adam Wallenta/$7.95"
The Art of LEGO Design/Creative Ways to Build Amazing Models/By Jordan Schwartz/$24.95
The LEGO MINDSTORMS EV3 Discovery Book/A Beginner's Guide to Building and Programming Robots/By Laurens Valk/$34.95
Penetration Testing/A Hands-On Introduction to Hacking/By Georgia Weidman/$49.99
Book of F#/Breaking Free with Managed Functional Programming/By Dave Fancher/$44.95
"Learn to Program with Scratch/A Visual Introduction to Programming with Games, Art, Science, and Math/By Majed Marji/$34.95"
Principles of Object-Oriented JavaScript//By Nicholas C. Zakas/$24.95
Perl One-Liners/130 Programs That Get Things Done/By Peteris Krumins/$24.95
"The LEGO Adventure Book, Vol. 2/Spaceships, Pirates, Dragons & More!/By Megan H. Rothrock/$24.95"
Ruby Under a Microscope/An Illustrated Guide to Ruby Internals/By Pat Shaughnessy/$39.95
LEGO Space/Building the Future/By Peter Reid and Tim Goddard/$24.95
"The LEGO MINDSTORMS EV3 Laboratory/Build, Program, and Experiment with Five Wicked Cool Robots!/By Daniele Benedettelli/$34.95"
Beautiful LEGO//By Mike Doyle/$29.99
"The LEGO Build-It Book, Vol. 1/Amazing Vehicles/By Nathanaël Kuipers and Mattia Zamboni/$19.95"
"The LEGO Build-It Book, Vol. 2/More Amazing Vehicles/By Nathanaël Kuipers and Mattia Zamboni/$19.95"
The Practice of Network Security Monitoring/Understanding Incident Detection and Response/By Richard Bejtlich/$49.95
"Realm of Racket/Learn to Program, One Game at a Time!/By Matthias Felleisen, David Van Horn, Conrad Barski, M.D., and Eight Students of Northeastern University/$39.95"
"Modern Web/Multi-Device Web Development with HTML5, CSS3, and JavaScript /By Peter Gasston/$34.95"
"Absolute OpenBSD, 2nd Edition/Unix for the Practical Paranoid/By Michael W. Lucas/$59.95"
"Blender Master Class/A Hands-On Guide to Modeling, Sculpting, Materials, and Rendering/By Ben Simonds/$49.95"
Book of GIMP/A Complete Guide to Nearly Everything/By Olivier Lecarme and Karine Delvare/$49.95
Learn You Some Erlang for Great Good!/A Beginner's Guide/By Fred Hebert/$49.95
"The LEGO Adventure Book, Vol. 1/Cars, Castles, Dinosaurs & More!/By Megan H. Rothrock/$24.95"
"The Unofficial LEGO Builder's Guide, 2nd Edition//By Allan Bedford/$24.95"
Wonderful Life with the Elements/The Periodic Table Personified/By Bunpei Yorifuji/$17.95
Think Like a Programmer/An Introduction to Creative Problem Solving/By V. Anton Spraul/$34.99
"Artist's Guide to GIMP, 2nd Edition/Creative Techniques for Photographers, Artists, and Designers/By Michael J. Hammel/$39.95"
"The Manga Guide to Linear Algebra//By Shin Takahashi, Iroha Inoue and Trend-Pro Co., Ltd./$24.95"
FreeBSD Device Drivers/A Guide for the Intrepid/By Joseph Kong/$49.95
"Webbots, Spiders, and Screen Scrapers, 2nd Edition/A Guide to Developing Internet Agents with PHP/CURL/By Michael Schrenk/$39.95"
Practical Malware Analysis/The Hands-On Guide to Dissecting Malicious Software/By Michael Sikorski and Andrew Honig/$59.99
Tangled Web/A Guide to Securing Modern Web Applications/By Michal Zalewski/$59.99
A Bug Hunter's Diary/A Guided Tour Through the Wilds of Software Security/By Tobias Klein/$39.95
"The Manga Guide to Biochemistry//By Masaharu Takemura, Kikuyaro, and Office Sawa/$24.95"
The Cult of LEGO//By John Baichtal and Joe Meno/$39.95
Art of R Programming/A Tour of Statistical Software Design/By Norman Matloff/$39.95
"The Manga Guide to the Universe//By Kenji Ishikawa, Kiyoshi Kawabata, and Verte Corp./$19.95"
"Metasploit/The Penetration Tester's Guide/By David Kennedy, Jim O’Gorman, Devon Kearns, and Mati Aharoni/$49.95"
"IDA Pro Book, 2nd Edition/The Unofficial Guide to the World's Most Popular Disassembler/By Chris Eagle/$69.95"
Book of Ruby/A Hands-On Guide for the Adventurous/By Huw Collingbourne/$39.95
"The Manga Guide to Relativity//By Hideo Nitta, Masafumi Yamamoto, Keita Takatsu, and Trend-Pro Co., Ltd./$19.95"
Learn You a Haskell for Great Good!/A Beginner's Guide/By Miran Lipovača/$44.95
"Book of Audacity/Record, Edit, Mix, and Master with the Free Audio Editor/By Carla Schroder/$34.95"
Unofficial LEGO MINDSTORMS NXT 2.0 Inventor's Guide//By David J. Perdue with Laurens Valk/$29.95
"Snip, Burn, Solder, Shred/Seriously Geeky Stuff to Make with Your Kids/By David Erik Nelson/$24.95"
"Land of Lisp/Learn to Program in Lisp, One Game at a Time!/By Conrad Barski, M.D./$49.95"
Linux Programming Interface/A Linux and UNIX System Programming Handbook/By Michael Kerrisk/$99.95
The LEGO Technic Idea Book: Fantastic Contraptions//By Yoshihito Isogawa/$19.95
The LEGO Technic Idea Book: Simple Machines//By Yoshihito Isogawa/$19.95
The LEGO Technic Idea Book: Wheeled Wonders//By Yoshihito Isogawa /$19.95
Network Flow Analysis//By Michael W. Lucas/$39.95
